title,authors,year,venue,url,source,abstract,already_read
Framework to analyze and exploit the smart home IoT firmware,K Kaushik; A Bhardwaj; S Dahiya,2025,Measurement: Sensors,https://www.sciencedirect.com/science/article/pii/S2665917424003829,Google Scholar,"firmware security. By gaining access to the equipment using the default credentials, the Mirai  Botnet infects devices. Therefore, to analyze the firmware's  home IoT firmware using our",False
Secure firmware update: Challenges and solutions,L Catuogno; C Galdi,2023,Cryptography,https://www.mdpi.com/2410-387X/7/2/30,Google Scholar,"of a secure firmware update system is the clear definition of the security properties that the   Obviously, an insecure software/firmware update system may represent a security threat",False
Large-scale security measurements on the android firmware ecosystem,Q Hou; W Diao; Y Wang; X Liu; S Liu; L Ying,2022,Proceedings of the 44th …,https://dl.acm.org/doi/abs/10.1145/3510003.3510072,Google Scholar,security measurement of the security of Android firmware from  and influences behind the  security risks. To guide our  Since we aim to evaluate the security status of Android firmware,False
Time series-based detection and impact analysis of firmware attacks in microgrids,I Zografopoulos; AP Kuruvila; K Basu; C Konstantinou,2022,Energy Reports,https://www.sciencedirect.com/science/article/pii/S2352484722017139,Google Scholar,"To evaluate the effectiveness of utilizing TSCs in conjunction with custom-built HPCs for  detecting malicious firmware attacks, we analyzed the classification metrics furnished when",False
Firmware Vulnerability Detection Algorithm Based on Matching Pattern-Specific Numerical Features With Structural Features,P Liu; Y Cao; Y Yan; Y Wang,2024,IEEE Access,https://ieeexplore.ieee.org/abstract/document/10473784/,Google Scholar,"of attacks on IoT devices, and the security of their firmware has become a focus of attention.  Aiming at firmware vulnerabilities in devices, a firmware vulnerability detection algorithm",False
FANDEMIC: Firmware Attack Construction and Deployment on Power Management Integrated Circuit and Impacts on IoT Applications.,R Tsang; D Joseph; Q Wu; S Salehi; N Carreon,2022,NDSS,https://rctsang.github.io/publications/ndss22-fandemic/ndss22-fandemic.pdf,Google Scholar,In this paper we attempt to define and expand upon a class of firmware vulnerability that  is characterized by the malicious configuration of power management integrated circuits (PMIC).,False
Unveiling {IoT} Security in Reality: A {Firmware-Centric} Journey,N Nino; R Lu; W Zhou; KH Lee; Z Zhao,2024,33rd USENIX Security …,https://www.usenix.org/conference/usenixsecurity24/presentation/nino,Google Scholar,", BLE) or application field (eg, home security), we develop general rules to recognize firmware  beyond Nordic and TI based on our empirical study of how firmware is stored and named.",False
A vulnerability scanning method for web services in embedded firmware,X Ma; C Yan; Y Wang; Q Wei; Y Wang,2024,Applied Sciences,https://www.mdpi.com/2076-3417/14/6/2373,Google Scholar,"In summary, current static analysis methods for firmware vulnerabilities primarily rely on  manually defined criteria to locate the origin points of vulnerabilities, including boundary binary",False
Beyond botnets: Autonomous Firmware Zombie Attack in industrial control systems,SA Alavi; HP Moghadam; AH Jahangir,2025,International Journal of Critical …,https://www.sciencedirect.com/science/article/pii/S1874548224000702,Google Scholar,"Firmware Zombie Attack (AFZA), which causes substantial damage while evading  conventional detection  Then, we compare this approach to traditional remote control attacks,",False
ERS0: Enhancing Military Cybersecurity with AI-Driven SBOM for Firmware Vulnerability Detection and Asset Management,M Beninger; P Charland; SHH Ding,2024,… Conference on Cyber …,https://ieeexplore.ieee.org/abstract/document/10685598/,Google Scholar,"for Firmware Vulnerability Detection and Asset Management Abstract: Firmware vulnerability  detection  , enabling military organizations to identify vulnerabilities within critical systems,",False
The Importance of Secure Firmware Updates in Maintaining System Integrity,S Brightwood,2024,NA,https://www.researchgate.net/profile/Seraphina-Brightwood/publication/384687421_The_Importance_of_Secure_Firmware_Updates_in_Maintaining_System_Integrity/links/670389b8553d245f9e540c55/The-Importance-of-Secure-Firmware-Updates-in-Maintaining-System-Integrity.pdf,Google Scholar,"However, outdated or insecure firmware vulnerabilities can expose systems to a wide  range of cyber threats, including data breaches, unauthorized access, and denial of service (DoS)",False
Hardware-assisted detection of firmware attacks in inverter-based cyberphysical microgrids,AP Kuruvila; I Zografopoulos; K Basu,2021,International Journal of …,https://www.sciencedirect.com/science/article/pii/S0142061521003896,Google Scholar,"In this section, we demonstrate the effects of firmware attacks on a MG system. We further  demonstrate the efficiency of our proposed custom-built HPC-based methodology in detecting",False
Comprehensive IoT Firmware Characterization Based on a Large-Scale Firmware Dataset,Y Zhang; B Yu; L Zhou; Q Yang,2024,… Conference on Cyber Security and …,https://dl.acm.org/doi/abs/10.1145/3689236.3689262,Google Scholar,firmware security. Most static analysis methods discover firmware vulnerabilities by matching  firmware  less attention to the impact of firmware TPC-level vulnerabilities on devices. While,False
A vehicle firmware security vulnerability: an IVI exploitation,G Costantino; M De Vincenzi; I Matteucci,2024,Journal of Computer Virology …,https://link.springer.com/article/10.1007/s11416-024-00522-4,Google Scholar,"Leveraging the experience got with the Gen5, we analyzed a Gen5W firmware and, from a  security perspective, we found a well-defined firmware with several security measures like the",False
Firmware integrity protection: A survey,A Marchand; Y Imine; H Ouarnoughi; T Tarridec,2023,IEEE …,https://ieeexplore.ieee.org/abstract/document/10196361/,Google Scholar,"Finally, we have seen several papers about supply chains attacks, showing that they may  impact firmware integrity [23]–[25]. However, we think that supply chain attacks are a research",False
An automated framework for detecting and mitigating memory safety vulnerabilities in UEFI firmware,Z Lu; Y Tan; X Cheng; Z Zheng; N Shi; Y Li,2025,Computers and Electrical …,https://www.sciencedirect.com/science/article/pii/S004579062400870X,Google Scholar,"in the latest firmware versions. We believe that in the study of UEFI firmware vulnerabilities,  there is an excessive emphasis on the rapid detection of new and existing vulnerabilities,",False
Semantic-enhanced static vulnerability detection in baseband firmware,Y Liu; C Zhang; F Li; Y Li; J Zhou; J Wang,2024,Proceedings of the …,https://dl.acm.org/doi/abs/10.1145/3597503.3639158,Google Scholar,"study analyzing all the historical vulnerabilities. We first collected all baseband firmware  related vulnerabilities, then identified the message-specific vulnerabilities contained, and finally",False
A framework for intelligent IoT firmware compliance testing,MK Kagita; GR Bojja; M Kaosar,2021,Internet of Things and Cyber-Physical …,https://www.sciencedirect.com/science/article/pii/S2667345221000018,Google Scholar,"As a result, we suggest a system that addresses a broader range of vulnerabilities found  in IoT firmware, networking protocols, and communication interfaces. Furthermore, our",False
VERI: A large-scale open-source components vulnerability detection in IoT firmware,Y Cheng; S Yang; Z Lang; Z Shi; L Sun,2023,Computers & Security,https://www.sciencedirect.com/science/article/pii/S0167404822004606,Google Scholar,VERI: A Large-scale Open-Source Components Vulnerability Detection in IoT Firmware -  ScienceDirect,False
Faster and Better: Detecting Vulnerabilities in Linux-Based IoT Firmware with Optimized Reaching Definition Analysis,Z Gao; C Zhang; H Liu; W Sun; Z Tang,2024,… System Security …,https://www.ndss-symposium.org/wp-content/uploads/2024-346-paper.pdf,Google Scholar,"large-scale IoT firmware security analysis. Note that most IoT firmware vulnerabilities are  taint- flow from untrusted inputs to sensitive sinks in firmware. Thus, several static taint analysis",False
"Resilient, Auditable, and Secure IoT-Enabled Smart Inverter Firmware Amendments With Blockchain",R Akkaoui; A Stefanov; P Palensky,2023,IEEE Internet of Things …,https://ieeexplore.ieee.org/abstract/document/10271255/,Google Scholar,"security threats and attacks that could be exploited during the procedure of amending SIs’  firmware  1) Firmware Downgrade Attack [C5, C6]: In this scenario, an attacker tries to push an",False
Firmware Development and Certification for IoT Devices,GM Bianco,2024,NA,https://webthesis.biblio.polito.it/31059/,Google Scholar,"IoT firmware security differs significantly from that of traditional computing devices, where  established standards such as UEFI 6 provide a stable foundation. In the IoT context,",False
Design of Dynamic Firmware Security Detection System Based on Virtual Simulation Technology,M Li; Y Yu; Y Zou; Y Luo,2023,2023 7th International Conference on …,https://ieeexplore.ieee.org/abstract/document/10491029/,Google Scholar,"testing, evaluation, and remote debugging of firmware risks. This method, based on functional   a solution for automating the analysis of IoT firmware risks. This solution should be highly",False
A deep learning approach to discover router firmware vulnerabilities,A Abu-Mahfouz; S Alrabaee,2023,IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/10108534/,Google Scholar,"• To the best of our knowledge, this is the first effort of applying deep learning to the firmware  vulnerability detection problem. We designed a firmware vulnerability classifier using CNN",False
Linux-based IoT Benchmark Generator For Firmware Security Analysis Tools,D de Ruck; V Goeman; M Willocx; J Lapon,2023,… Reliability and Security,https://dl.acm.org/doi/abs/10.1145/3600160.3600181,Google Scholar,"of vulnerabilities discarded by the firmware security analysis  customized Linux-based  firmware benchmarks, that are  both static and dynamic firmware security analysis tools, to",False
"Software Supply Chain Security: Securing the End-to-end Supply Chain for Software, Firmware, and Hardware",C Crossley,2024,NA,https://books.google.com/books?hl=en&lr=&id=hS7yEAAAQBAJ&oi=fnd&pg=PT12&dq=firmware+AND+vulnerabilities+OR+detection+OR+attacks+OR+exploit+OR+vulnerability+OR+security+OR+risks+after:2021+before:2025&ots=YEsbQxMO8M&sig=Ldn5kDYATihjcY6tfeFV1sC8Sho,Google Scholar,"you a comprehensive look at security risks and identifies the  security posture of its software,  firmware, and hardware. With this book, you'll learn how to: Pinpoint the cybersecurity risks",False
An Investigation into Router Firmware Security and the Embedded Device Challenge,PR Vamsi; S Sharma; A Krishna,2024,International Journal of …,https://cyberleninka.ru/article/n/an-investigation-into-router-firmware-security-and-the-embedded-device-challenge,Google Scholar,"vulnerabilities that demand rigorous analysis and mitigation [3]. This study aims to undertake  a comprehensive security analysis of router firmware to identify vulnerabilities,  of firmware",False
Detecting vulnerabilities in linux-based embedded firmware with sse-based on-demand alias analysis,K Cheng; Y Zheng; T Liu; L Guan; P Liu; H Li,2023,Proceedings of the …,https://dl.acm.org/doi/abs/10.1145/3597926.3598062,Google Scholar,"accurate and fast detection of taint-style vulnerabilities in Linux number of taint-style  vulnerabilities accurately within a limited  192 vulnerabilities, including 41 n-day vulnerabilities",False
Advanced technique for firmware security analysis through heterogeneous data fusion and knowledge mapping,P Xiao; L Xie; F Hang; H Li,2025,PloS one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0319660,Google Scholar,"directly affects the stability of the entire system and the security of user data. In  firmware  security analysis, this article conducts research on advanced technologies for firmware security",False
Fostering Trust in Smart Inverters: A Framework for Firmware Update Management and Tracking in VPP Context,T Dayaratne; C Rudolph; T Shirley,2025,IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/10829643/,Google Scholar,[18] used blockchain to distribute keys and smart contracts to verify the authenticity and  integrity of the firmware in proposing a framework for firmware security checks and recovery for,False
OctopusTaint: Advanced Data Flow Analysis for Detecting Taint-Based Vulnerabilities in IoT/IIoT Firmware,A Qasem; M Debbabi; A Soeanu,2024,… and Communications Security,https://dl.acm.org/doi/abs/10.1145/3658644.3690307,Google Scholar,"vulnerabilities. Recent studies highlight the vulnerability of these devices to taint-based  attacks,  Current state-of-the-art solutions for mitigating these risks primarily utilize Dynamic",False
Firmware Analyses,R Helmke; J vom Dorp,2023,"… and Malware, and Vulnerability …",https://books.google.com/books?hl=en&lr=&id=VW3EEAAAQBAJ&oi=fnd&pg=PA199&dq=firmware+AND+vulnerabilities+OR+detection+OR+attacks+OR+exploit+OR+vulnerability+OR+security+OR+risks+after:2021+before:2025&ots=YuOeUMMAx4&sig=YlA9E1zRQSQHDMeFTm_z8yLry88,Google Scholar,"for binary distributed Linux kernels in firmware images. Not filtering included vulnerable   using automated static firmware analysis. In a case study with 127 router firmware images, we",False
Firmware-based dos attacks in wireless sensor network,PT Lau; S Katzenbeisser,2023,… Symposium on Research in Computer Security,https://link.springer.com/chapter/10.1007/978-3-031-54129-2_13,Google Scholar,"suffers a major risk of DoS attacks. We define these attacks as firmware-based DoS attacks.   two possible forms of vulnerabilities residing in firmware, including memory corruption and",False
Update If You Dare: Demystifying Bare-Metal Device Firmware Update Security of Appified IoT Systems,L Xue; Y Yan; Q Tang; L Yu; X Luo; Z Cai,2024,… on Dependable and …,https://ieeexplore.ieee.org/abstract/document/10758829/,Google Scholar,to investigate the baremetal DFU security of six commercial appified IoT  firmware modification  attacks. The affected vendors have acknowledged our findings and addressed the security,False
Proposal of a middleware to support development of iot firmware analysis tools,M Yoda; S Sakuraba; Y Sei; Y Tahara,2022,Joint Conference on …,https://link.springer.com/chapter/10.1007/978-3-031-17583-1_1,Google Scholar,"on firmware vulnerability detection. We chose ten studies on vulnerability detection. The   that the commonly used functions for firmware analysis are firmware splitting, static strings,",False
Exploring Firmware-Based Anti-forensics in IoT Devices: Techniques and Implications,MS Kirmani; MT Banday,2024,SN Computer Science,https://link.springer.com/article/10.1007/s42979-024-03476-y,Google Scholar,"First, this work identifies methods for illicit access to device firmware and explores common  IoT firmware vulnerabilities exploited for anti-forensic purposes, enabling adversaries to",False
Can we trust the phone vendors? comprehensive security measurements on the android firmware ecosystem,Q Hou; W Diao; Y Wang; C Mao; L Ying,2023,IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/10141678/,Google Scholar,"security measurement of the security of Android firmware from both  security risks. To guide  our measurement, we refine seven important research questions on Android firmware security",False
DDoSViT: IoT DDoS attack detection for fortifying firmware Over-The-Air (OTA) updates using vision transformer,M Ali; Y Saleem; S Hina; GA Shah,2025,Internet of Things,https://www.sciencedirect.com/science/article/pii/S254266052500040X,Google Scholar,"variants of DDoS and DoS attacks, outperforming contemporary models. The  security  practitioners and administrators, offering reduced false positives and reliable alerts during firmware",False
Understanding security risks of embedded devices through fine-grained firmware fingerprinting,Q Li; D Tan; X Ge; H Wang; Z Li,2021,IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9573428/,Google Scholar,") claim a patch for the vulnerability, we believe that the firmware vulnerability is patched. We   firmware. 2) No-Patch & Solution.Although there exists no patch for the firmware vulnerability",False
Deep Learning Based Real Time Vulnerability Fixes Verification Mechanism for Automotive Firmware/Software,A Ansari; MA Alimohideen,2021,NA,https://www.sae.org/publications/technical-papers/content/2021-01-0183/,Google Scholar,number and type of vulnerabilities fixes in the embedded  models for software/firmware  patched binaries and inferring  vulnerability fixes for all the given number of vulnerabilities in,False
Secure IoT firmware updates against supply chain attacks,B Appiah; D Commey; I Osei; BK Frimpong,2025,The Journal of …,https://link.springer.com/article/10.1007/s11227-025-07126-9,Google Scholar,"the operation and security of IoT devices, is increasingly vulnerable to supply chain attacks.  In this attack, malicious actors exploit vulnerabilities in the firmware update process thereby",False
Aot-attack on things: A security analysis of iot firmware updates,M Ibrahim; A Continella,2023,… Symposium on Security …,https://ieeexplore.ieee.org/abstract/document/10190484/,Google Scholar,"Our results show that SDKs vulnerable to firmware attacks are widely used in the companion  apps of IoT devices. In particular, we find that 61 popular devices and 1,356 apps rely on",False
Smart Home Devices: Firmware Analysis and Certification,MA Leonte,2024,NA,https://webthesis.biblio.polito.it/32086/,Google Scholar,"Regarding IoT systems security, our research has mainly focused on firmware security.   Regarding security, we outline some of the solutions presented in the literature, with a focus on",False
Firmware vulnerabilities homology detection based on clonal selection algorithm for IoT devices,D He; X Yu; T Li; S Chan,2022,IEEE Internet of Things …,https://ieeexplore.ieee.org/abstract/document/9716061/,Google Scholar,"At present, most of the firmware vulnerabilities have a small number of related samples, so  it  firmware vulnerabilities, this article proposes a firmware vulnerability homology detection",False
Leveraging Firmware Reverse Engineering for Stealthy Sensor Attacks via Binary Modification,S Kulkarni; R Tsang; H Homayoun,2023,2023 IEEE 41st …,https://ieeexplore.ieee.org/abstract/document/10360982/,Google Scholar,Attacks on sensors as a consequence of malicious firmware  The significant impact of such  firmware vulnerabilities drives  by exploiting a firmware vulnerability that indirectly affects the,False
Comparative Analysis of Firmware Security: A Proactive Paradigm for Enhancing Efficiency and Adaptability through Anomaly Detection,J Sanjay; E Amrutha; N Ramesh,2023,2023 6th International …,https://ieeexplore.ieee.org/abstract/document/10480848/,Google Scholar,to proactive threat detection and resource intensity. This paper aims to transform firmware  security by proposing a novel technique named Behavior-Based Anomaly Detection (BBAD).,False
A Firmware Vulnerability Detection Method Based on Feature Filtering,B Xia; C Tang; W Liu; S Chu,2023,2023 IEEE Intl Conf on …,https://ieeexplore.ieee.org/abstract/document/10491696/,Google Scholar,"vulnerability or existing firmware vulnerability. Currently, binary code similarity technology has  been widely used in binary vulnerability detection,  code carrying binary vulnerabilities are",False
Blockchain-enabled security module for transforming conventional inverters toward firmware security-enhanced smart inverters,B Ahn; G Bere; S Ahmad; J Choi,2021,2021 IEEE Energy …,https://ieeexplore.ieee.org/abstract/document/9595728/,Google Scholar,"provides expanded firmware attack surface targeting smart inverters. Moreover, this paper  proposes a security module for transforming a conventional inverter to a firmware security built",False
ISF: Security analysis and assessment of smart home IoT-based firmware,A Bhardwaj; K Kaushik; M Alshehri,2022,ACM Transactions on …,https://dl.acm.org/doi/abs/10.1145/3578363,Google Scholar,The outcome of this research on IoT firmware security risks emphasizes the broadening of  the attack surface for threat actors. This implies that traditional defenses such as firewall rules,False
"Challenges in firmware re-hosting, emulation, and analysis",C Wright; WA Moeglein; S Bagchi; M Kulkarni,2021,ACM Computing …,https://dl.acm.org/doi/abs/10.1145/3423167,Google Scholar,and firmware re-hosting have become popular techniques to answer various security and   as determining whether a firmware contain security vulnerabilities or meet timing requirements,False
A Taxonomy of IoT Firmware Security and Principal Analysis Techniques,I Nadir; H Mahmood; G Asadullah,2023,NA,https://www.researchgate.net/profile/Ghalib-Shah/publication/362249093_A_taxonomy_of_IoT_firmware_security_and_principal_firmware_analysis_techniques/links/6421495192cfd54f8431c439/A-taxonomy-of-IoT-firmware-security-and-principal-firmware-analysis-techniques.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail&_rtd=e30%3D,Google Scholar,issues in IoT firmware. We also discuss complications that hinder the detection of firmware  vulnerabilities before doing a detailed analysis of existing vulnerability assessment tools and,False
Challenges in drone firmware analyses of drone firmware and its solutions,Y Kim; K Cho; S Kim,2024,IEEE Access,https://ieeexplore.ieee.org/abstract/document/10589659/,Google Scholar,"And even if internal access is possible through attack surfaces such as communication  protocols, if no vulnerability analysis is performed on the actual firmware binaries, we are forced",False
{RapidPatch}: firmware hotpatching for {Real-Time} embedded devices,Y He; Z Zou; K Sun; Z Liu; K Xu; Q Wang,2022,31st USENIX Security …,https://www.usenix.org/conference/usenixsecurity22/presentation/he-yi,Google Scholar,attacks. A huge number of embedded devices equipped with outdated firmware are subject  to various vulnerabilities device-specific patches for different firmware. We utilize eBPF virtual,False
Hardware-based Detection of Malicious Firmware Modification in Microgrids,A Srivastava; S Thakur; AP Kuruvila,2024,… Conference on VLSI …,https://ieeexplore.ieee.org/abstract/document/10483513/,Google Scholar,"To evaluate the effectiveness of utilizing custom-built HPCs for detecting malicious  firmware attacks, we analyzed the classification metrics furnished when utilizing each unique",False
Firmware attacks: The silent threat to your IoT connected devices,I Srihith; A Donald; T Srinivas; D Anjali,2023,Int. J. Adv. Res. Sci …,https://www.academia.edu/download/101066525/Paper9104.pdf,Google Scholar,"In this paper, we explore the silent threat of firmware attacks on connected devices and the   to exploit firmware vulnerabilities and the impact these attacks can have on the security and",False
Seeing is not always believing: Insights on IoT manufacturing from firmware composition analysis and vendor survey,M Akiyama; S Shiraishi; A Fukumoto; R Yoshimoto,2023,… & Security,https://www.sciencedirect.com/science/article/pii/S0167404823002997,Google Scholar,are commonly used in IoT devices and for which many vulnerabilities have been discovered.  We employed the firmware and GPL source code complementarily in the analysis because,False
A modular end-to-end framework for secure firmware updates on embedded systems,S Falas; C Konstantinou; MK Michael,2021,ACM Journal on Emerging …,https://dl.acm.org/doi/abs/10.1145/3460234,Google Scholar,"security gains in firmware security in recent years [25 Firmware continues to be an enticing  entry point for attackers. IoT  Therefore, security is typically considered of low priority in the",True
Hardcoded vulnerability detection approach for IoT device firmware.,MU Chao; W Xin; Y Ming; Z Heng,2022,… Information Security,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=2096109X&AN=160528821&h=hpZsjvBz8%2Bdq3j3CqYJrpyy%2Bex3mGP%2B0R%2FBdnnygk9yIpoEtTKlowytbvauCxWXBUfhIolbN44JU10aRIeZTXg%3D%3D&crl=c,Google Scholar,vulnerability detection method for firmware of IoT devices [J]. Chinese Journal of Network  and Information Security The proposed method extracted the firmware of IoT devices and,False
A hybrid approach to enhance data security in wireless vehicle firmware update process,K Mayilsamy; N Ramachandran; BJS Moses,2022,Wireless Personal …,https://link.springer.com/article/10.1007/s11277-022-09571-8,Google Scholar,"As the diagnostic data and firmware update files are highly sensitive, the  data security  using the blend of cryptography and image steganography is proposed for the Vehicle Firmware",False
Unveiling firmware weaknesses: An approach for large-scale security analysis,OB de Freitas; LAP Júnior,2024,… Brasileiro de Segurança da Informação e …,https://sol.sbc.org.br/index.php/sbseg_estendido/article/view/30119,Google Scholar,"models, obtaining firmware samples from 131. Our analysis revealed more vulnerabilities  in official firmware compared to open-source versions, highlighting the security benefits of the",False
Shimware: Toward practical security retrofitting for monolithic firmware images,E Gustafson; P Grosen; N Redini; S Jha,2023,… on Research in Attacks …,https://dl.acm.org/doi/abs/10.1145/3607199.3607217,Google Scholar,"firmware images with new security measures. First, we outline the steps any analyst must take  to retrofit firmware,  creating a retrofitted firmware image, once the vulnerability is identified.",False
A Framework for BMC Firmware Vulnerability Analysis and Exploitation,J Wang; Z Zheng; K Qiu; Y Tan,2024,2024 IEEE International …,https://ieeexplore.ieee.org/abstract/document/10731767/,Google Scholar,"vulnerability analysis and exploitation based on the characteristics of the BMC firmware   and ease of BMC firmware detection, non-intrusive methods of firmware code retrieval need to",False
Detecting command injection vulnerabilities in Linux-based embedded firmware with LLM-based taint analysis of library functions,J Ye; X Fei; XC de Carnavalet; L Zhao; L Wu,2024,… & Security,https://www.sciencedirect.com/science/article/pii/S0167404824002761,Google Scholar,"To test its performance in detecting CI vulnerabilities in Linux-based embedded firmware,  we collected several firmware images with known vulnerabilities and employed EmTaint to",False
Device-centric firmware malware detection for smart inverters using deep transfer learning,SRB Alvee; BH Ahn; S Ahmad; KT Kim,2022,2022 IEEE Design …,https://ieeexplore.ieee.org/abstract/document/9906538/,Google Scholar,This paper explores potential firmware malware attacks targeting smart inverters and   This paper focuses on firmware malware attacks and their impacts. Firmware malware can be,False
A lightweight IoT firmware vulnerability detection scheme based on homology detection,D Liu; H Zhang; R Wang; F Zhang,2022,Journal of High …,https://journals.sagepub.com/doi/abs/10.3233/JHS-222027,Google Scholar,"existing firmware vulnerability detection technology, this paper proposes a vulnerability  detection  results show that this scheme can effectively detect the vulnerabilities in the firmware.",False
S-RFUP: Secure Remote Firmware Update Protocol,R Podder; T Rios; I Ray; P Raman; S Righi,2025,… Information Systems Security,https://link.springer.com/chapter/10.1007/978-3-031-80020-7_3,Google Scholar,"-level security and standardization in firmware updates across platforms. The proposed  Secure Remote Firmware  needed security features to protect against tampering, unauthorized",False
Forming Faster Firmware Fuzzers.,L Seidel; DC Maier; M Muench,2023,USENIX Security Symposium,https://www.usenix.org/system/files/usenixsecurity23-seidel.pdf,Google Scholar,"Cortex-M firmware. SAFIREFUZZ takes monolithic binary-only firmware images and uses   HLE-based rehosting system for binary firmware, we show that SAFIREFUZZ can provide a",False
A tool for IoT Firmware Certification,GM Bianco; L Ardito; M Valsesia,2024,"… on Availability, Reliability and Security",https://dl.acm.org/doi/abs/10.1145/3664476.3670469,Google Scholar,"Frequent security breaches have highlighted the vulnerabilities of  of firmware security can  help mitigate these risks.  not reveal all vulnerabilities present in a firmware, necessitating the",True
Blockchain-based firmware security check and recovery for smart inverters,G Bere; B Ahn; JJ Ochoa; T Kim,2021,2021 IEEE Applied …,https://ieeexplore.ieee.org/abstract/document/9487468/,Google Scholar,vulnerabilities of power electronics (PE) devices were already observed [5].  -time firmware  security of smart inverters threatened by attackers has been less studied. Firmware attacks on,False
IoT devices firmware security detection based on static analysis technology,M Li; Y Yu; Y Zou,2023,International Conference on Intelligent …,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12702/127022O/IoT-devices-firmware-security-detection-based-on-static-analysis-technology/10.1117/12.2679937.short,Google Scholar,This paper introduces a system for detecting IoT device firmware security issues  the firmware  security analysis system designed in this paper can find the vulnerabilities of the firmware,False
