title,authors,year,venue,url,source,abstract,already_read
Firmware fuzzing: The state of the art,C Zhang; Y Wang; L Wang,2020,Proceedings of the 12th Asia-Pacific …,https://dl.acm.org/doi/abs/10.1145/3457913.3457934,Google Scholar,"fore, firmware vulnerability detection by fuzzing has become the key to ensure the security of   complexity of firmware, the variety of firmware types, and the firmware defects, existing IoT",False
B in a rm: Scalable and efficient detection of vulnerabilities in firmware images of intelligent electronic devices,P Shirani; L Collard; BL Agba; B Lebel,2018,"… , and Vulnerability …",https://link.springer.com/chapter/10.1007/978-3-319-93411-2_6,Google Scholar,"analyze the corresponding IED firmware images; (iii)  vulnerabilities. Second, to ensure  BinArm is efficient and scalable enough to handle IED firmware images, we design a detection",False
Staged method of code similarity analysis for firmware vulnerability detection,Y Wang; J Shen; J Lin; R Lou,2019,IEEE Access,https://ieeexplore.ieee.org/abstract/document/8616839/,Google Scholar,"vulnerability detection technology based on simple feature matching cannot reach high  accuracy to detect firmware vulnerabilities,  of staged firmware vulnerability detection based on",False
Microcontroller based IoT system firmware security: Case studies,C Gao; L Luo; Y Zhang; B Pearson,2019,2019 IEEE International …,https://ieeexplore.ieee.org/abstract/document/9065145/,Google Scholar,"This paper studies the security of Microcontroller (MCU) based IoT firmware. Given  exploit  the flaws behind contemporary firmware upgrade models. Specifically, we validate our attacks",False
FIoT: Detecting the memory corruption in lightweight IoT device firmware,L Zhu; X Fu; Y Yao; Y Zhang,2019,"… , Security And Privacy In …",https://ieeexplore.ieee.org/abstract/document/8887414/,Google Scholar,"corruption detection on a single firmware image within 210 seconds in average. Furthermore,  our study discovered 35 zero-day memory vulnerabilities among 115 firmware images.",False
Secure firmware updates in the internet of things: A survey,NS Mtetwa; P Tarwireyi,2019,2019 International …,https://ieeexplore.ieee.org/abstract/document/9015845/,Google Scholar,"the security problems that arise due to IoT device firmware  many vulnerabilities including  the firmware update vulnerability, where reverse engineering was performed on the firmware.",False
Identifying privilege separation vulnerabilities in IoT firmware with symbolic execution,Y Yao; W Zhou; Y Jia; L Zhu; P Liu; Y Zhang,2019,Computer Security …,https://link.springer.com/chapter/10.1007/978-3-030-29959-0_31,Google Scholar,"To systematically detect the privilege separation vulnerabilities in a variety of IoT firmware,   from IoT firmware. Since symbolically executing entire binary IoT firmware without full-system",False
Firmcorn: Vulnerability-oriented fuzzing of iot firmware via optimized virtual execution,Z Gui; H Shu; F Kang; X Xiong,2020,Ieee Access,https://ieeexplore.ieee.org/abstract/document/8990098/,Google Scholar,"to vulnerabilities. In this study, we present FIRMCORN, the first vulnerabilityoriented fuzzer  for IoT firmware focuses on three typical problems of IoT firmware fuzzing: (1) high throughput",False
DTaint: detecting the taint-style vulnerability in embedded device firmware,K Cheng; Q Li; L Wang; Q Chen,2018,2018 48th Annual …,https://ieeexplore.ieee.org/abstract/document/8416504/,Google Scholar,"As our goal is to detect vulnerabilities in IoT firmware, we first carry out an empirical study  to  when dealing with IoT firmware. Firmware collection. Prior work [20] proposed to collect",False
Ufo-hidden backdoor discovery and security verification in iot device firmware,CW Tien; TT Tsai; Y Chen,2018,2018 IEEE International …,https://ieeexplore.ieee.org/abstract/document/8539157/,Google Scholar,"In this study, we refer to three IoT security verification  to firmware security for security  verification of IoT firmware. Moreover, we perform in-depth analysis of the IoT device firmware to try",False
I can detect you: Using intrusion checkers to resist malicious firmware attacks,DM Shila; P Geng; T Lovett,2016,… for Homeland Security (HST),https://ieeexplore.ieee.org/abstract/document/7568958/,Google Scholar,"firmware attacks, we propose to embed light weight intrusion-defense capability called Intrusion  Checkers within the embedded firmware by  an understanding of exploit characteristics,",False
Identifying mirai-exploitable vulnerabilities in iot firmware through static analysis,Z Ahmed; I Nadir; H Mahmood,2020,… Warfare and Security …,https://ieeexplore.ieee.org/abstract/document/9292382/,Google Scholar,"In this section, we will explain the methodology employed by our firmware security  evaluation system to assess an IoT firmware’s resistance against Mirai malware. The complete",False
{FIRMSCOPE}: Automatic uncovering of {Privilege-Escalation} vulnerabilities in {Pre-Installed} apps in android firmware,M Elsabagh; R Johnson; A Stavrou; C Zuo,2020,… (USENIX Security 20),https://www.usenix.org/conference/usenixsecurity20/presentation/elsabagh,Google Scholar,"number of Android firmware that contain privilege-escalation vulnerabilities in pre-  vulnerabilities, we built FIRMSCOPE, a novel static analysis system that analyzes Android firmware",False
Dark firmware: a systematic approach to exploring application security risks in the presence of untrusted firmware,D Ibdah; N Lachtar; AA Elkhail; A Bacha,2020,… on Research in Attacks …,https://www.usenix.org/conference/raid2020/presentation/ibdah,Google Scholar,explore the risks associated with application security in the presence of untrusted firmware.   we discuss a possible countermeasure that can be used to defend against firmware attacks.,False
Towards automated dynamic analysis for linux-based embedded firmware.,DD Chen; M Woo; D Brumley; M Egele,2016,NDSS,https://www.ndss-symposium.org/wp-content/uploads/2017/09/towards-automated-dynamic-analysis-linux-based-embedded-firmware.pdf,Google Scholar,"exploit affects the firmware of up to five different vendors, and the most effective exploit affects  10% of all network inferred firmware  is one explanation, our attacks also affect applications",False
Research on security detection technology for internet of things terminal based on firmware code genes,X Zhu; Q Li; Z Chen; G Zhang; P Shan,2020,IEEE Access,https://ieeexplore.ieee.org/abstract/document/9169679/,Google Scholar,analysis of firmware code similarity  security detection technology for IoT terminal firmware  by measuring the gene distance between the codes. A prototype firmware security detection,False
Fingerprinting Vulnerabilities in Intelligent Electronic Device Firmware,L Collard,2018,NA,https://spectrum.library.concordia.ca/id/eprint/984793/,Google Scholar,firmware often contain critical vulnerabilities that if exploited could cause large impacts on  national economic security in order to assess the security of IED firmware. In order to resolve,False
Malicious firmware detection with hardware performance counters,X Wang; C Konstantinou; M Maniatakos,2016,… on Multi-Scale …,https://ieeexplore.ieee.org/abstract/document/7470546/,Google Scholar,"Effective security mechanisms are, therefore, of paramount importance in order to provide  protection against firmware malicious attacks. The exploitation of firmware vulnerabilities in",False
Secure firmware update in embedded systems,L Keleman; D Matić; M Popović,2019,2019 IEEE 9th …,https://ieeexplore.ieee.org/abstract/document/8966174/,Google Scholar,a security concept for prevention of security risks mentioned  This paper presented an  implementation of a secure firmware  For the maximum level of security key exchange could be,False
Blockchain-based firmware security check and recovery for battery management systems,G Bere; JJ Ochoa; T Kim,2020,2020 IEEE Transportation …,https://ieeexplore.ieee.org/abstract/document/9161562/,Google Scholar,"security-related purposes for EV battery management systems (BMSs). This paper explores  firmware security vulnerabilities  and tasks including BMS firmware security check, recovery,",False
Firmxray: Detecting bluetooth link layer vulnerabilities from bare-metal firmware,H Wen; Z Lin; Y Zhang,2020,… on computer and communications security,https://dl.acm.org/doi/abs/10.1145/3372297.3423344,Google Scholar,"of vulnerabilities at the BLE link layer during broadcasting, pairing, and message transmission.  To detect these vulnerabilities directly from the bare-metal firmware,  for robust firmware",False
Automated dynamic firmware analysis at scale: a case study on embedded web interfaces,A Costin; A Zarras; A Francillon,2016,… and Communications Security,https://dl.acm.org/doi/abs/10.1145/2897845.2897900,Google Scholar,"The firmware and vulnerabilities marked with a ”†” are found us a total number of vulnerabilities  and affected firmware.  of finding more vulnerabilities in more firmware images, we have",False
Analysis of Firmware Security in Embedded ARM Environments,DA Brown,2019,NA,https://vtechworks.lib.vt.edu/items/8382fe53-04bc-4b1c-8e64-ba1d423bfb0a,Google Scholar,"of firmware on embedded systems, in this case Solid State Drives (SSDs). Some manufacturers  make firmware  to verify the authenticity of the firmware post installation. This means that",False
Firmaster: Analysis tool for home router firmware,V Visoottiviseth; P Jutadhammakorn,2018,… Joint Conference on …,https://ieeexplore.ieee.org/abstract/document/8457340/,Google Scholar,"In Firmaster, we will find and analyze the vulnerability of firmware within Internet of Things  devices especially Wi-Fi access routers based on the I1 to I4 and I9 of OWASP top 10 Internet",False
Toward the analysis of embedded firmware through automated re-hosting,E Gustafson; M Muench; C Spensky; N Redini,2019,… on Research in Attacks …,https://www.usenix.org/conference/raid2019/presentation/gustafson,Google Scholar,"We further show the potential for direct applications to dynamic analysis, by using these  modeled environments to trigger synthetic security vulnerabilities in the firmware samples. The",False
FOTB: a secure blockchain-based firmware update framework for IoT environment,A Yohan; NW Lo,2020,International Journal of Information Security,https://link.springer.com/article/10.1007/s10207-019-00467-6,Google Scholar,"security strength of the proposed firmware update framework is conducted. Based on the  proofs of formal security  and defends against major cyber attacks: firmware modification attack,",False
Automatic generation of assertions for detection of firmware vulnerabilities through alignment of symbolic sequences,S Germiniani; A Danese,2020,IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9246700/,Google Scholar,"whose firmware contain unexpected vulnerabilities that can be exploited by attackers. In fact,  in the past years, attacks on IP firmware  , specifically in their firmware. An exhaustive formal",False
Firmae: Towards large-scale emulation of iot firmware for dynamic analysis,M Kim; D Kim; E Kim; S Kim; Y Jang; Y Kim,2020,… Annual Computer Security …,https://dl.acm.org/doi/abs/10.1145/3427228.3427294,Google Scholar,"hypothesis by successfully running emulated web services in 892 firmware images from  1,124 images, and we found 12 0-day vulnerabilities by conducting dynamic security analysis.",False
Towards big scale firmware analysis,N MKHATVARI,2017,NA,https://www.politesi.polimi.it/handle/10589/144799,Google Scholar,"firmware images security. After, we will precisely define the problems and tradeoffs of the  firmware  In the Firmware Detection phase, we try to detect which of the decompressed files is a",False
Measurement study towards a unified firmware updating scheme for legacy IoT devices,BK Hong; JW Huang; T Ban; R Isawa,2019,… Information Security …,https://ieeexplore.ieee.org/abstract/document/8826812/,Google Scholar,IoT firmware. Based on a thorough review of the state of art of IoT firmware emulation and  vulnerability  that could monitor the security status of users’ IoT devices and keep the device,False
FIT: Inspect vulnerabilities in cross-architecture firmware by deep learning and bipartite matching,H Liang; Z Xie; Y Chen; H Ning; J Wang,2020,Computers & Security,https://www.sciencedirect.com/science/article/pii/S0167404820303059,Google Scholar,"; 2) A same vulnerability often exists in multiple firmware with  approach to inspect  vulnerabilities in firmware, which first  of facilitating further researches in the firmware security field.",False
"A survey of security vulnerability analysis, discovery, detection, and mitigation on IoT devices",M Yu; J Zhuge; M Cao; Z Shi; L Jiang,2020,Future Internet,https://www.mdpi.com/1999-5903/12/2/27,Google Scholar,"technologies, we summarize by the following four aspects: (1) Research on the basic  framework of vulnerability analysis, which performs firmware simulation to help analyze IoT",False
Dynamic binary firmware analysis: challenges & solutions,M Muench,2019,NA,https://theses.hal.science/tel-03143960/,Google Scholar,"the firmware of embedded systems for potential security vulnerabilities, while restricting its  scope to binary firmware access to the source code of the firmware, and even if source code is",False
Em-fuzz: Augmented firmware fuzzing via memory checking,J Gao; Y Xu; Y Jiang; Z Liu; W Chang,2020,IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9211428/,Google Scholar,"firmware, which is challenging especially due to the absence of source code. In particular, we  propose EM-Fuzz, a firmware vulnerability detection  , the firmware fuzzing can not only be",False
Firmware Attack Detection on Gadgets Using Kohonen's Self Organizing Feature Maps (KSOFM),E Arul; A Punidha,2020,2020 Third International Conference on …,https://ieeexplore.ieee.org/abstract/document/9214115/,Google Scholar,"framework for firmware development with crypto currencies and IPFS [4]. The security of the   Furthermore, Smart home products are required to include firmware details and be patched",False
A hardware-based framework for secure firmware updates on embedded systems,S Falas; C Konstantinou,2019,2019 IFIP/IEEE 27th …,https://ieeexplore.ieee.org/abstract/document/8920348/,Google Scholar,firmware update security and firmware modification attacks are discussed in Section II. The  underlying security  The proposed methodology for secure firmware updates is presented in,False
Security of firmware update mechanisms within SOHO routers,S Kolehmainen,2019,NA,https://jyx.jyu.fi/jyx/Record/jyx_123456789_64101,Google Scholar,"of firmware update security within  firmware updates are critical to the overall device security.  A case study was performed, where 12 devices were analyzed using network and firmware",False
Firmware Attack Detection on IoT Devices Using Deep Binary Pattern Classification Mining (FA-PCM),E Arul; A Punidha,2020,ICT Analysis and Applications: Proceedings of ICT4SD …,https://link.springer.com/chapter/10.1007/978-981-15-8354-4_38,Google Scholar,unwilling to change the security tests. Deficient  firmware assault in IoT smartphones.The  FA-PCM classifies the IoT application files as a binary image of the proposed firmware detection,False
Security analysis of vendor customized code in firmware of embedded device,M Liu; Y Zhang; J Li; J Shu; D Gu,2017,Security and Privacy in Communication …,https://link.springer.com/chapter/10.1007/978-3-319-59608-2_40,Google Scholar,"To this end, we present a systematic security assessment procedure to help conduct  firmware reverse engineering and vendor customized code searching. We expect our proposed",False
Research on Automated Vulnerability Mining of Embedded System Firmware,X Li; L Qiao; Y Sun; Q Guan,2020,Artificial Intelligence and Security: 6th …,https://link.springer.com/chapter/10.1007/978-981-15-8101-4_11,Google Scholar,"challenges of firmware research. Then we analyze the work related to firmware vulnerability  mining. After that, we classify and analyze the existing firmware vulnerability mining work",False
Research for vulnerability detection of embedded system firmware,J Hou; T Li; C Chang,2017,Procedia Computer Science,https://www.sciencedirect.com/science/article/pii/S1877050917304568,Google Scholar,impact of security issues. The research of embedded firmware vulnerability detection technology   and comprehensive method to detect the vulnerability of embedded firmware. The more,False
Humidify: A tool for hidden functionality detection in firmware,SL Thomas; FD Garcia; T Chothia,2017,"… and Malware, and Vulnerability …",https://link.springer.com/chapter/10.1007/978-3-319-60876-1_13,Google Scholar,This work focuses on the detection of the latter threat class.  Finally we used a further random  sample of 50 firmware images which HumIDIFy was executed on resulting in detection of 9,False
Analyzing and securing firmware for IoT devices,N Redini,2020,NA,https://search.proquest.com/openview/7967246d1d057a0fe57df3f83ca23ada/1?pq-origsite=gscholar&cbl=18750&diss=y,Google Scholar,"firmware. Then, I present in detail my work that advances the state of the art of firmware  security different components of a firmware sample to precisely uncover security vulnerabilities, (iii",False
Hardware-enabled secure firmware updates in embedded systems,S Falas; C Konstantinou; MK Michael,2019,… Scale Integration-System on a Chip,https://link.springer.com/chapter/10.1007/978-3-030-53273-4_8,Google Scholar,"Despite the importance of firmware updates, manufacturers and firmware developers  often consider firmware security as a secondary task. As a result, firmware often turns into an",False
Blockchain-based distributed firmware update architecture for IoT devices,S Choi; JH Lee,2020,IEEE Access,https://ieeexplore.ieee.org/abstract/document/9007435/,Google Scholar,"The architecture proposed in this paper has a low risk of server targeting attacks because  the firmware images are stored distributed on the blockchain network. However, Schemes 1, 2",False
Platform firmware resiliency guidelines,A Regenscheid,2017,NA,https://csrc.nist.gov/csrc/media/publications/sp/800-193/draft/documents/sp800-193-draft.pdf,Google Scholar,98 This document provides technical guidelines and recommendations supporting  resiliency of platform firmware and data against potentially destructive attacks. The platform is a,False
Vulnerability model and evaluation of the uefi platform firmware based on improved attack graphs,F Cao; Q Li; Z Chen,2018,2018 IEEE 9th International Conference …,https://ieeexplore.ieee.org/abstract/document/8663754/,Google Scholar,"Firmware, this paper sununarizes the UEFI platform firmware framework structure as well  as its potential security  the security threats of the UEFI platform firmware in several aspects:",False
Karonte: Detecting insecure multi-binary interactions in embedded firmware,N Redini; A Machiry; R Wang,2020,… on Security and …,https://ieeexplore.ieee.org/abstract/document/9152796/,Google Scholar,"Therefore, we assessed the remaining vulnerabilities by reverse engineering the firmware.  By using vendor-confirmed vulnerabilities and checking whether other firmware using the",False
There will be glitches: Extracting and analyzing automotive firmware efficiently,A Milburn; N Timmers; N Wiersma; R Pareja,2018,Black Hat USA,https://raelize.com/upload/research/2018/2018_escareu_There-Will-Be-Glitches-Whitepaper.pdf,Google Scholar,fault injection attacks in order extract its firmware and then we analyzed its firmware efficiently   attacks. This includes the embedded technology used by the automotive industry. These,False
Snifu: Secure network interception for firmware updates in legacy plcs,H Benkraouda; MA Chakkantakath,2020,2020 IEEE 38th VLSI …,https://ieeexplore.ieee.org/abstract/document/9107609/,Google Scholar,Wago PLC and testing with modified firmware attacks. Our evaluation shows that SNIFU  can efficiently verify the integrity of PLC firmware and prevent malicious firmware downloads.,False
Securing Dynamic Firmware Updates of Mixed-Critical Applications,G Kornaros; S Leivadaros,2017,2017 3rd IEEE International …,https://ieeexplore.ieee.org/abstract/document/7985807/,Google Scholar,"against such type of attacks. Even if  firmware can still run in a secure isolated memory  space. In this work we consider cache-based timing attacks out the scope, or side-channel attacks",False
A case study on vulnerability analysis and firmware modification attack for a wearable fitness tracker,J Shim; K Lim; J Jeong; S Cho; M Park; S Han,2017,IT Converg. Pract,https://isyou.info/inpra/papers/inpra-v5n4-03.pdf,Google Scholar,"In this paper, firmware analysis and firmware tampering attacks are conducted for a commercial  fitness tracker and defense techniques are discussed. In order to do this, we analyze the",False
Breaking all the things—A systematic survey of firmware extraction techniques for IoT devices,S Vasile; D Oswald; T Chothia,2018,… Conference on Smart Card Research and …,https://link.springer.com/chapter/10.1007/978-3-030-15462-2_12,Google Scholar,"exploit results in a root shell. In most cases where firmware extraction is possible, firmware   device to firmware extraction and firmware injection attacks. The general process of JTAG",False
A decentralized approach towards secure firmware updates and testing over commercial IoT Devices,P Gupta,2020,arXiv preprint arXiv:2011.12052,https://arxiv.org/abs/2011.12052,Google Scholar,"These forms of attacks need to be stopped for the safety and security of its users. IoT  the  existing firmware. However, security of the device is flawed if the server side firmware database",False
Taxonomy of firmware trojans in smart grid devices,C Konstantinou; A Keliris,2016,2016 IEEE Power and …,https://ieeexplore.ieee.org/abstract/document/7741452/,Google Scholar,"detection and mitigation strategies against such attacks. To this end, we provide a taxonomy  for firmware Trojans and develop firmware  firmware as a potential source of cyber attacks",False
Secure firmware updates for constrained iot devices using open standards: A reality check,K Zandberg; K Schleiser; F Acosta; H Tschofenig,2019,IEEE …,https://ieeexplore.ieee.org/abstract/document/8725488/,Google Scholar,"describing firmware updates. The SUIT group defines a so-called manifest, which provides  (1) information about the firmware required to update the device, and (2) a security wrapper",False
Automated Firmware Re-hosting for Security Analysis,G Visser,2020,NA,https://download.vusec.net/resources/thesis/examples/litstudy-visser.pdf,Google Scholar,context of firmware security analysis describes the act of enabling the execution of firmware  on  of the core methods of vulnerability detection in firmware analysis. But other factors affect,False
Firmware Resiliency: Detection,J Yao; V Zimmer; J Yao; V Zimmer,2020,… Firmware: Armoring the Foundation of …,https://link.springer.com/chapter/10.1007/978-1-4842-6106-4_4,Google Scholar,"Detection is the second element in firmware resiliency. Even if we use multiple ways to  protect the firmware, a vulnerability in software or hardware may still cause the firmware",False
Attacks on fitness trackers revisited: A case-study of unfit firmware security,J Rieck,2016,arXiv preprint arXiv:1604.03313,https://arxiv.org/abs/1604.03313,Google Scholar,"firmware security and firmware modification attacks are summarised.  , firmware security  on Withings’ platform should have improved, warranting an analysis of the security of firmware",False
VSFBS: Vulnerability Search in Firmware Based on String,Z Zhang; D Zhou; J Rao; D Zhao; W Hu,2020,… Systems and Their …,https://ieeexplore.ieee.org/abstract/document/9331100/,Google Scholar,"and many methods have been used to find vulnerabilities in binary code, like 1) numerical   vulnerabilities of firmware in a cross-platform model. The main idea of this method is to exploit",False
Vulnerability finding and firmware association in power grid,Y Sun; L Sun; Z Shi; W Yu,2019,2019 Fifth Conference on …,https://ieeexplore.ieee.org/abstract/document/8686515/,Google Scholar,"firmware protocol vulnerabilities associated technology, through the technology of information  extraction from the mass grid device firmware  device firmware and published vulnerability",False
Determining the image base of smart device firmware for security analysis,R Zhu; B Zhang; Y Tan; J Wang,2020,… and Mobile Computing,https://onlinelibrary.wiley.com/doi/abs/10.1155/2020/8899193,Google Scholar,"smart device firmware security is of growing importance. Disassembly is a common method  for evaluating the security of authorization mechanisms. When disassembling firmware, the",False
Detecting Vulnerabilities in Iot Firmware Via Keyword Identification and Path Optimization,J Liu; Y Li; H Liang,NA,Available at SSRN 5168828,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5168828,Google Scholar,vulnerability detection framework for IoT device firmware that targets at the binary level rather  than the source code to tackle the above issues. IotSleuth mainly focuses on the detection,False
Shedding too much light on a microcontroller's firmware protection,J Obermaier; S Tatschner,2017,11th USENIX Workshop on Offensive …,https://www.usenix.org/conference/woot17/workshop-program/presentation/obermaier,Google Scholar,"At first, we discover that a common security configuration provides low protection which can   -protected firmware. Secondly, we reveal a design weakness in the security configuration",False
Device-agnostic firmware execution is possible: A concolic execution approach for peripheral emulation,C Cao; L Guan; J Ming; P Liu,2020,… of the 36th Annual Computer Security …,https://dl.acm.org/doi/abs/10.1145/3427228.3427280,Google Scholar,"previously-unseen firmware. In recent years, we have witnessed devastating security  breaches targeting low-end microcontroller-based IoT devices. These security concerns have",False
Detecting Vulnerabilities in Firmware Via Back-End Differences,J Liu; S Wang; Y Li; H Liang,NA,Available at SSRN 4901395,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4901395,Google Scholar,vulnerability detection framework for IoT device firmware to tackle the above issues. Given  that vulnerabilities in an original firmware image (OF) are usually fixed by a patched firmware,False
Firmware over the air for home cybersecurity in the Internet of Things,CC Teng; JW Gong; YS Wang,2017,2017 19th Asia …,https://ieeexplore.ieee.org/abstract/document/8094190/,Google Scholar,"all security policies and standards, but also distribute security patches or renew firmware in  response to vulnerabilities as  Keeping the firmware of home routers up-todate can effectively",False
Idols with Feet of clay: on the security of bootloaders and firmware updaters for the IoT,L Morel; D Couroussé,2019,2019 17th IEEE International New …,https://ieeexplore.ieee.org/abstract/document/8961216/,Google Scholar,"In this paper, we focus on the security aspects of the IoT device itself, and the security   tackle the security of the Bootloader and Firmware Update (BFU). We report on the security of the",False
"3D Bioprinter Firmware Attacks: Categorization, Implementation, and Impacts",M Ahsan; B Najarro-Blancas; JT Ebode; N Lewinski,NA,NA,https://ahmirf.github.io/publications/2025-ieee-host-bioprinter.pdf,Google Scholar,"security needs of bioprinting, we propose a structured framework for categorizing firmware  attacks  Predominantly focusing on the impact on the bioprinting process, the attacks can be",False
An experimental study of four methods for homology analysis of firmware vulnerability,L Ran; L Lu; H Lin; M Han; D Zhao,2017,… Systems and Their …,https://ieeexplore.ieee.org/abstract/document/8269600/,Google Scholar,"similarity value with a firmware which is known to have a vulnerability. There are mainly four   in firmware vulnerability detection, we found that the results of vulnerability detection are not",False
"{DECAF}: Automatic, adaptive de-bloating and hardening of {COTS} firmware",J Christensen; IM Anghel; R Taglang,2020,29th USENIX Security …,https://www.usenix.org/conference/usenixsecurity20/presentation/christensen,Google Scholar,This project aims to exploit the modular nature of UEFI firmware in order to reduce the attack  surface area of all motherboards that conform to the UEFI specification. Individual modules,False
Vulnerability Detection in Firmware Based on Clonal Selection Algorithm,M Yu; D Zhao; D Zhou; L Ran; J Xiang,2019,… Symposium Series on …,https://ieeexplore.ieee.org/abstract/document/9002965/,Google Scholar,"In this paper, the detection of the firmware vulnerability  the detection of the target  sample can be regarded as classifying the sample into a vulnerability function or a non-vulnerability",False
SECURING THE EDGE: EMBEDDED FIRMWARE ENGINEERING IN THE AGE OF EDGE COMPUTING,S Gangarapu; SSR Chilukoori; CK Kadiyala,NA,NA,https://www.researchgate.net/profile/Sadha-Shiva-Reddy-Chilukoori/publication/381348774_Securing_the_Edge_Embedded_Firmware_Engineering_in_The_Age_of_Edge_Computing/links/6669e6c5de777205a32a3728/Securing-the-Edge-Embedded-Firmware-Engineering-in-The-Age-of-Edge-Computing.pdf,Google Scholar,"By prioritizing embedded firmware security and investing in research and development, we  can build a more secure and resilient edge computing ecosystem, enabling the full potential",False
Private blockchain network for IoT device firmware integrity verification and update,S Dhakal; F Jaafar; P Zavarsky,2019,2019 IEEE 19th International …,https://ieeexplore.ieee.org/abstract/document/8673027/,Google Scholar,Blockchain-based compromised firmware detection and healing proposed in [13] utilizes a  pre-computed Reference Integrity Metric (RIM) of the operating system. The RIM is securely,False
Autonomous and malware-proof blockchain-based firmware update platform with efficient batch verification for Internet of Things devices,JW Hu; LY Yeh; SW Liao; CS Yang,2019,Computers & Security,https://www.sciencedirect.com/science/article/pii/S016740481831438X,Google Scholar,"Therefore, a method through which the firmware of IoT devices can be securely and   blockchain-based firmware updating platform to enhance the process of updating firmware. A smart",False
Vulnerabilities in IoT devices for smart home environment,L Costa; JP Barros; M Tavares; J Barros; LM Tavares,2019,NA,https://repositorio.ipbeja.pt/entities/publication/fe88bc71-a805-45c5-8e55-86baa3258e9c,Google Scholar,gathering and firmware vulnerability stages. Device 1 has a bare-metal OS and the firmware  source files could not be extracted. Nevertheless we were able to obtain the firmware image,False
